S/N,ACTIVITY_START_DATE,DATASET_NAME,SITE,TREATMENT,ACTIVITY_MEDIA_NAME,CHLA,ALK,TDP,TDN,K,MG,SRSI,MN,CL,FE,SO4,DOC,NO3,PARTN,NA,COND,NH3,DIC,PARTP,PH,CA,NO2,PARTC,SECCHI_DEPTHS,MEAN_DAILY_DISCHARGE
594,2019-06-24,Chemistry,Site3,none (reference/control),Lake Water,1.69,124.40,4.10,263.13,0.30,0.67,0.74,0.00,0.19,0.00,1.27,536.00,0.34,32.00,0.59,27.37,15.12,147.00,3.00,7.12,1.77,0.70,351.00,4.54,0.01
595,2019-06-25,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,251.20,14.80,600.69,0.38,1.18,5.69,0.00,0.13,0.58,0.82,1819.50,8.62,7.00,1.76,32.50,24.10,332.50,2.00,6.51,4.42,2.80,179.50,4.54,0.01
596,2019-06-25,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,11.10,656.29,0.48,0.42,5.38,0.00,0.19,0.50,0.16,2811.00,4.10,18.00,0.99,28.50,53.19,286.00,2.00,4.33,1.26,8.00,194.00,4.54,0.01
597,2019-06-25,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,41.80,8.60,527.15,0.18,0.40,3.78,0.00,0.23,0.33,0.96,1513.00,6.43,0.00,0.83,16.50,25.60,435.00,1.00,5.02,1.40,2.10,194.00,4.54,0.01
598,2019-06-25,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,157.60,4.30,262.84,0.39,0.71,2.32,0.00,0.27,0.00,1.84,610.00,0.98,37.00,1.08,23.50,23.88,168.00,2.00,7.18,2.57,1.40,388.00,4.54,0.01
599,2019-07-02,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,194.00,19.80,826.70,0.51,1.45,5.77,0.00,0.13,0.81,0.59,2055.00,8.50,12.00,1.83,39.00,18.90,384.00,2.00,6.48,5.51,2.00,255.00,4.54,0.01
600,2019-07-02,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,162.20,4.20,317.20,0.41,0.70,2.36,0.00,0.29,0.00,2.00,646.00,1.70,55.00,1.08,24.50,10.40,158.00,3.00,7.16,2.57,0.80,620.00,4.54,0.01
601,2019-07-02,Chemistry,Site4,fertilized,Lake Water,47.68,112.40,8.90,491.00,0.14,0.42,0.47,0.00,0.21,0.06,0.90,725.00,18.80,557.00,0.83,15.83,11.30,28.00,27.00,7.90,1.44,1.60,2750.00,0.75,0.00
602,2019-07-03,Chemistry,Site2,none (reference/control),Lake Water,0.73,173.40,3.70,215.50,0.35,0.57,0.66,0.00,0.19,0.00,1.56,363.00,1.70,27.00,0.64,27.37,23.10,187.00,2.00,7.14,2.67,1.70,280.00,7.75,0.01
603,2019-07-04,Chemistry,Site1,none (reference/control),Lake Water,1.35,164.50,2.75,285.60,0.37,0.68,2.98,0.00,0.27,0.00,1.97,609.50,1.80,40.50,0.97,27.37,21.70,170.00,3.00,7.02,2.51,1.70,405.00,5.00,0.01
604,2019-07-08,Chemistry,Site3,none (reference/control),Lake Water,1.03,127.50,2.40,288.35,0.28,0.67,0.98,0.00,0.21,0.00,1.20,556.50,2.95,31.50,0.58,27.37,18.20,148.50,3.00,7.00,1.75,0.60,379.50,4.54,0.01
605,2019-07-09,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,166.90,12.65,700.00,0.21,0.91,6.45,0.00,0.15,0.59,0.75,2035.50,14.00,31.50,1.27,28.25,28.90,335.00,4.50,5.88,3.64,2.85,298.00,4.54,0.01
606,2019-07-09,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.80,713.70,0.25,0.48,6.43,0.00,0.12,0.52,0.07,3591.00,0.60,28.00,0.88,35.50,43.30,342.00,3.00,3.99,1.45,6.60,341.00,4.54,0.01
607,2019-07-09,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,34.00,9.50,674.60,0.06,0.50,6.31,0.00,0.28,0.54,0.52,2200.00,5.10,37.00,0.79,27.37,50.70,382.00,4.00,4.81,1.89,3.30,356.00,4.54,0.01
608,2019-07-09,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,159.00,2.60,302.30,0.36,0.68,1.82,0.00,0.28,0.00,1.88,607.00,1.90,46.00,0.99,24.50,24.50,160.00,3.00,7.09,2.48,1.30,460.00,4.54,0.01
609,2019-07-15,Chemistry,Site2,none (reference/control),Lake Water,0.95,167.60,2.10,209.25,0.31,0.54,0.60,0.00,0.19,0.00,1.40,370.00,1.70,30.50,0.62,27.37,12.95,179.50,2.00,6.98,2.48,0.95,403.00,4.54,0.01
610,2019-07-16,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,136.40,10.40,668.85,0.22,0.81,4.96,0.02,0.09,0.63,0.75,2044.00,4.95,31.50,1.07,24.75,31.05,300.00,2.50,5.72,3.37,3.90,271.00,4.54,0.01
611,2019-07-16,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,14.70,592.30,0.25,0.32,3.75,0.02,0.05,0.42,0.23,2674.00,0.60,13.00,0.69,32.50,33.20,335.00,2.00,4.04,0.99,6.10,178.00,4.54,0.01
612,2019-07-16,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,13.40,4.90,460.50,0.03,0.38,3.91,0.00,0.07,0.30,1.11,1674.00,3.70,0.00,0.62,17.50,29.80,316.00,1.00,4.64,1.37,2.80,113.00,4.54,0.01
613,2019-07-16,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,141.20,2.30,292.50,0.30,0.58,2.17,0.00,0.25,0.02,1.50,736.00,2.10,48.00,0.89,22.90,17.40,155.00,4.00,6.64,2.12,1.70,425.00,4.54,0.01
614,2019-07-16,Chemistry,Site4,fertilized,Lake Water,10.13,68.40,7.30,407.20,0.23,0.40,0.97,0.02,0.18,0.09,0.71,1106.00,113.40,222.00,0.68,15.83,26.50,65.00,15.00,5.91,1.38,1.60,1414.00,1.00,0.00
615,2019-07-17,Chemistry,Site1,none (reference/control),Lake Water,1.78,141.40,2.20,275.20,0.48,0.77,2.29,0.00,0.22,0.00,1.74,692.00,2.20,52.89,1.26,27.37,13.60,152.00,4.00,6.84,2.66,1.10,550.26,2.75,0.01
616,2019-07-22,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,196.40,13.00,734.10,0.32,0.99,5.61,0.02,0.10,0.79,0.47,2175.00,8.50,35.00,1.22,28.00,20.50,315.00,2.00,6.02,3.98,2.50,315.00,4.54,0.01
617,2019-07-22,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,7.30,616.30,0.25,0.36,4.28,0.01,0.07,0.48,0.14,2873.00,0.90,12.00,0.75,32.50,31.00,317.00,1.00,4.34,1.08,5.80,184.00,4.54,0.01
618,2019-07-22,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,20.60,6.30,465.00,0.03,0.43,4.43,0.00,0.06,0.39,0.88,1629.00,2.70,25.00,0.75,17.00,24.00,330.00,1.00,4.81,1.57,2.30,149.00,4.54,0.01
619,2019-07-22,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,136.30,2.50,279.50,0.34,0.64,2.21,0.00,0.20,0.02,1.58,749.00,2.10,61.50,0.93,22.50,15.60,156.00,3.50,6.75,2.29,1.35,502.50,4.54,0.01
620,2019-07-29,Chemistry,Site3,none (reference/control),Lake Water,1.56,117.40,3.40,349.90,0.27,0.67,0.79,0.00,0.15,0.03,1.07,601.00,2.70,46.00,0.59,27.37,12.60,122.00,2.00,6.76,1.67,0.70,446.00,4.54,0.01
621,2019-07-30,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,230.60,15.70,698.50,0.31,1.06,6.67,0.02,0.13,0.92,0.42,2120.00,16.30,20.00,1.31,31.50,30.60,335.00,3.00,6.16,4.28,3.80,295.00,4.54,0.01
622,2019-07-30,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.70,687.75,0.20,0.40,4.42,0.02,0.08,0.52,0.11,3216.50,0.30,18.00,0.79,34.00,30.45,298.50,2.00,4.05,1.18,6.85,152.00,4.54,0.01
623,2019-07-30,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,24.20,7.60,550.60,0.07,0.40,4.62,0.00,0.16,0.40,0.73,1812.00,2.90,0.00,0.76,17.90,13.80,283.00,2.00,4.74,1.46,2.30,117.00,4.54,0.01
624,2019-07-30,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,144.00,3.60,273.20,0.33,0.62,2.30,0.00,0.20,0.00,1.62,732.00,0.40,54.00,0.92,22.50,31.40,145.00,4.00,6.76,2.22,0.80,447.00,4.54,0.01
625,2019-08-06,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,375.20,25.00,256.40,0.66,1.56,6.41,0.02,0.29,1.28,0.42,2226.00,56.80,34.00,1.67,43.00,37.50,395.00,4.00,6.56,6.30,2.80,530.00,4.54,0.01
626,2019-08-06,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,10.20,874.90,0.26,0.47,5.67,0.02,0.09,0.65,0.06,3628.00,2.20,0.00,0.90,31.50,37.20,216.00,2.00,4.11,1.52,7.50,171.00,4.54,0.01
627,2019-08-06,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,39.80,9.10,502.40,0.03,0.40,4.93,0.00,0.08,0.50,0.52,1731.00,4.90,28.00,0.75,16.50,27.10,281.00,2.00,4.96,1.50,2.60,260.00,4.54,0.01
628,2019-08-06,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,240.20,2.60,294.70,0.33,0.62,2.31,0.00,0.25,0.00,1.64,782.00,6.10,43.00,0.92,22.50,16.60,132.00,3.00,6.98,2.32,1.40,574.00,4.54,0.01
629,2019-08-06,Chemistry,Site2,none (reference/control),Lake Water,0.97,169.40,2.40,252.20,0.33,0.53,0.62,0.00,0.20,0.00,1.30,400.00,3.20,27.00,0.64,27.37,8.70,171.00,3.00,6.98,2.39,0.10,405.00,5.00,0.01
630,2019-08-07,Chemistry,Site1,none (reference/control),Lake Water,2.53,145.60,17.10,306.60,0.35,0.63,2.35,0.00,0.21,0.00,1.65,781.00,6.00,43.00,0.93,27.37,12.00,143.00,3.00,6.89,2.34,0.80,469.00,3.00,0.01
631,2019-08-07,Chemistry,Site4,fertilized,Lake Water,6.81,60.00,9.30,380.30,0.25,0.40,0.65,0.02,0.19,0.07,0.57,1053.00,3.80,174.00,0.73,14.50,11.50,98.00,19.00,5.95,1.43,1.00,1143.00,1.75,0.00
632,2019-08-12,Chemistry,Site3,none (reference/control),Lake Water,1.16,119.70,2.40,260.10,0.30,0.71,0.78,0.00,0.17,0.02,1.11,609.00,1.45,43.00,0.63,27.37,15.55,132.50,3.00,6.89,1.86,0.60,423.50,4.54,0.01
633,2019-08-13,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,358.30,22.35,674.90,0.55,1.49,6.04,0.02,0.15,1.23,0.31,2234.50,42.15,40.50,1.54,43.50,70.20,456.50,4.00,6.49,5.98,4.25,596.50,4.54,0.01
634,2019-08-13,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,144.20,3.10,291.20,0.34,0.63,2.23,0.00,0.23,0.00,1.66,765.00,1.20,96.00,0.94,23.50,40.20,141.00,4.00,6.98,2.34,1.10,798.00,4.54,0.01
635,2019-08-19,Chemistry,Site2,none (reference/control),Lake Water,1.31,169.60,2.60,262.95,0.33,0.54,0.58,0.00,0.17,0.00,1.29,361.00,9.45,33.50,0.65,27.37,10.15,173.00,1.50,7.10,2.57,0.90,461.00,6.00,0.01
636,2019-08-20,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,360.80,21.30,679.60,0.64,1.44,6.02,0.02,0.17,1.08,0.29,2148.00,42.30,40.00,1.56,42.00,26.90,456.00,5.00,6.37,5.82,4.20,706.00,4.54,0.01
637,2019-08-20,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,54.40,13.40,524.10,0.17,0.44,4.79,0.02,0.12,0.53,0.98,1599.00,4.30,100.00,0.83,17.50,19.80,299.00,9.00,5.12,1.66,3.10,905.00,4.54,0.01
638,2019-08-20,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,133.40,2.70,256.85,0.33,0.62,2.22,0.00,0.21,0.00,1.56,726.50,2.65,42.50,0.95,22.25,14.75,127.00,2.00,6.95,2.34,1.40,658.00,4.54,0.01
639,2019-08-20,Chemistry,Site4,fertilized,Lake Water,12.44,69.40,9.10,379.80,0.21,0.39,0.23,0.00,0.16,0.06,0.54,952.00,29.50,166.00,0.68,15.83,16.30,68.00,21.00,6.19,1.42,1.70,1755.00,1.27,0.00
640,2019-08-21,Chemistry,Site1,none (reference/control),Lake Water,3.39,144.00,2.80,243.80,0.35,0.65,2.28,0.00,0.24,0.02,1.61,719.00,2.10,0.00,0.97,27.37,13.80,139.00,1.00,6.83,2.47,0.90,463.00,4.54,0.01
641,2019-08-26,Chemistry,Site3,none (reference/control),Lake Water,1.39,123.00,7.60,267.50,0.28,0.70,0.74,0.00,0.15,0.00,1.04,592.00,2.00,0.00,0.63,27.37,19.00,120.00,2.00,6.88,1.92,0.40,363.00,4.54,0.01
642,2019-08-27,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,318.80,18.00,645.70,0.57,1.28,6.85,0.02,0.20,0.83,0.60,1766.00,43.00,38.00,1.56,40.00,39.00,392.00,5.00,6.44,5.23,2.80,544.00,4.54,0.01
643,2019-08-27,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,12.30,721.80,0.19,0.60,6.37,0.02,0.16,0.76,0.16,4223.00,10.00,22.00,0.96,38.50,64.00,306.00,4.00,4.06,2.00,6.80,305.00,4.54,0.01
644,2019-08-27,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,38.20,11.10,556.20,0.06,0.45,6.36,0.00,0.19,0.54,0.71,1985.00,34.00,21.00,0.80,27.37,55.00,405.00,3.00,4.95,1.77,1.70,241.00,4.54,0.01
645,2019-08-27,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,146.80,3.30,254.15,0.33,0.60,2.26,0.00,0.21,0.00,1.59,705.50,8.00,53.50,0.93,23.00,28.00,135.00,3.50,6.03,2.34,0.00,593.50,4.54,0.01
646,2019-09-03,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,283.80,15.10,629.20,0.44,1.17,6.94,0.02,0.13,0.77,0.77,1781.00,52.60,23.00,1.60,36.50,29.40,363.00,4.00,6.28,4.82,3.10,443.00,4.54,0.01
647,2019-09-03,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,9.90,745.80,0.19,0.60,4.60,0.02,0.12,0.66,0.11,4404.00,1.80,0.00,0.88,42.50,42.50,311.00,2.00,3.87,1.96,6.30,220.00,4.54,0.01
648,2019-09-03,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,34.40,9.30,603.70,0.08,0.51,5.76,0.00,0.25,0.57,0.86,2159.00,13.20,27.00,0.86,23.00,39.70,341.00,2.00,4.72,2.03,3.30,244.00,4.54,0.01
649,2019-09-03,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,146.30,3.15,255.20,0.33,0.60,2.13,0.00,0.23,0.00,1.66,726.50,3.10,67.00,0.93,23.25,18.85,128.50,3.50,6.99,2.37,1.45,782.50,4.54,0.01
650,2019-09-03,Chemistry,Site4,fertilized,Lake Water,25.13,69.20,8.60,340.60,0.22,0.38,0.23,0.00,0.16,0.06,0.61,909.00,0.90,238.00,0.67,15.83,12.40,50.00,30.00,6.48,1.39,1.20,2352.00,1.00,0.00
651,2019-09-04,Chemistry,Site1,none (reference/control),Lake Water,3.47,153.00,2.80,255.70,0.36,0.61,2.26,0.00,0.24,0.00,1.69,719.00,2.70,52.00,0.95,27.37,15.80,146.00,2.00,6.73,2.42,1.40,523.00,3.00,0.01
652,2019-09-04,Chemistry,Site2,none (reference/control),Lake Water,1.74,168.60,2.80,208.20,0.36,0.57,0.52,0.00,0.20,0.00,1.38,393.00,1.00,32.00,0.66,27.37,8.80,169.00,2.00,6.86,2.54,0.70,435.00,4.54,0.01
653,2019-09-09,Chemistry,Site3,none (reference/control),Lake Water,1.65,124.20,2.80,243.50,0.28,0.66,0.68,0.00,0.19,0.00,1.16,587.50,11.45,35.50,0.57,27.37,14.00,122.50,0.50,6.83,1.71,1.00,407.50,4.54,0.01
654,2019-09-10,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,315.00,15.70,579.30,0.60,1.28,6.43,0.02,0.22,0.79,0.77,1745.00,15.40,29.00,1.63,38.00,22.90,415.00,4.00,6.29,4.84,3.40,440.00,4.54,0.01
655,2019-09-10,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,10.80,716.40,0.24,0.67,4.64,0.02,0.15,0.72,0.10,4179.00,0.40,27.00,0.88,40.50,50.20,285.00,3.00,3.93,2.02,6.60,449.00,4.54,0.01
656,2019-09-10,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,40.60,9.40,515.70,0.07,0.48,5.92,0.00,0.25,0.54,0.66,1952.00,10.50,24.00,0.84,19.50,34.50,368.00,2.00,4.92,1.78,3.00,205.00,4.54,0.01
657,2019-09-10,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,142.80,3.00,238.10,0.35,0.61,2.18,0.00,0.25,0.00,1.79,708.00,1.80,66.00,0.92,22.00,16.80,137.00,3.00,6.87,2.21,0.80,663.00,4.54,0.01
658,2019-09-16,Chemistry,Site2,none (reference/control),Lake Water,1.94,165.50,1.30,238.10,0.35,0.55,0.51,0.00,0.17,0.00,1.27,385.00,1.05,39.00,0.64,27.37,17.85,176.00,2.00,6.85,2.49,0.85,457.50,4.54,0.01
659,2019-09-17,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,164.40,11.90,775.20,0.37,0.91,5.56,0.02,0.15,0.76,0.78,2286.00,1.50,17.00,1.34,29.40,24.60,304.00,2.00,5.72,3.68,3.30,256.00,4.54,0.01
660,2019-09-17,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,7.70,753.40,0.24,0.57,3.74,0.02,0.15,0.61,0.11,3791.00,0.30,21.00,0.85,40.50,51.50,298.00,2.00,3.90,1.75,5.50,283.00,4.54,0.01
661,2019-09-17,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,16.00,5.40,568.50,0.05,0.45,4.49,0.00,0.21,0.40,1.11,1940.00,1.60,13.00,0.77,21.10,49.10,298.00,1.00,4.61,1.66,2.60,180.00,4.54,0.01
662,2019-09-17,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,146.80,1.75,274.90,0.35,0.63,2.10,0.00,0.21,0.00,1.59,708.00,0.65,48.50,0.94,23.85,32.60,143.00,3.00,6.77,2.35,1.50,525.50,4.54,0.01
663,2019-09-17,Chemistry,Site4,fertilized,Lake Water,16.68,61.00,8.20,390.60,0.20,0.39,0.57,0.00,0.17,0.07,0.62,970.00,0.60,321.00,0.67,15.83,19.90,67.00,43.00,6.04,1.24,1.60,2991.00,1.25,0.00
664,2019-09-18,Chemistry,Site1,none (reference/control),Lake Water,3.30,150.20,1.30,305.00,0.36,0.64,2.24,0.00,0.21,0.00,1.59,714.00,0.30,46.00,0.94,27.37,15.70,150.00,3.00,6.80,2.38,0.80,447.00,3.00,0.01
665,2019-09-23,Chemistry,Site3,none (reference/control),Lake Water,2.44,112.80,4.00,265.00,0.30,0.64,0.81,0.00,0.18,0.02,1.03,656.00,2.20,48.00,0.58,27.37,12.30,124.00,3.00,6.57,1.67,0.50,446.00,4.54,0.01
666,2019-09-24,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,122.60,11.50,672.70,0.40,0.78,5.41,0.01,0.18,0.69,0.74,2468.00,1.20,21.00,1.08,25.00,17.10,268.00,3.00,5.50,3.21,3.60,255.00,4.54,0.01
667,2019-09-24,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,7.05,621.30,0.28,0.45,3.48,0.00,0.20,0.53,0.16,3689.50,2.35,16.00,0.72,38.70,30.70,293.00,2.00,3.94,1.37,6.45,251.00,4.54,0.01
668,2019-09-24,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,10.00,5.20,505.10,0.19,0.45,4.53,0.00,0.14,0.37,1.11,2032.00,1.20,23.00,0.73,18.50,21.30,291.00,2.00,4.56,1.67,2.90,208.00,4.54,0.01
669,2019-09-24,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,146.80,3.20,275.80,0.33,0.61,2.20,0.00,0.21,0.02,1.59,746.00,0.30,37.00,0.88,22.90,12.80,143.00,4.00,6.67,2.27,1.60,388.00,4.54,0.01
670,2019-09-30,Chemistry,Site2,none (reference/control),Lake Water,2.32,161.20,1.50,209.00,0.32,0.51,0.53,0.00,0.18,0.00,1.28,407.00,0.20,37.00,0.61,27.37,9.00,178.00,3.00,6.87,2.34,0.70,421.00,4.75,0.01
671,2019-10-01,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,83.30,8.20,567.50,0.34,0.61,4.80,0.00,0.18,0.49,0.82,2113.00,1.40,27.00,0.97,22.25,29.20,193.00,3.50,5.48,2.48,3.35,270.50,4.54,0.01
672,2019-10-01,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,6.40,533.00,0.28,0.35,3.45,0.00,0.20,0.38,0.29,2692.00,0.00,19.00,0.61,33.90,27.20,276.00,2.00,4.03,1.06,3.90,261.00,4.54,0.01
673,2019-10-01,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,0.00,5.20,402.00,0.17,0.34,3.91,0.00,0.14,0.22,1.16,1576.00,0.00,0.00,0.60,18.40,12.80,217.00,2.00,4.69,1.22,1.70,125.00,4.54,0.01
674,2019-10-01,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,144.40,1.70,399.00,0.33,0.59,2.36,0.00,0.21,0.02,1.61,735.00,4.20,45.00,0.88,23.60,10.00,164.00,3.00,6.70,2.23,1.10,363.00,4.54,0.01
675,2019-10-01,Chemistry,Site4,fertilized,Lake Water,50.84,66.80,7.80,377.00,0.20,0.40,1.19,0.03,0.17,0.16,0.64,1101.00,0.00,393.00,0.66,15.83,8.00,142.00,43.00,5.62,1.31,1.30,2977.00,0.75,0.00
676,2019-10-02,Chemistry,Site1,none (reference/control),Lake Water,4.42,145.80,1.70,280.00,0.35,0.60,2.41,0.00,0.22,0.02,1.61,743.00,6.10,46.00,0.90,27.37,20.80,168.00,3.00,6.41,2.27,1.10,410.00,3.25,0.01
677,2019-10-07,Chemistry,Site3,none (reference/control),Lake Water,3.01,110.80,1.40,266.00,0.29,0.61,0.83,0.00,0.19,0.00,1.11,629.50,2.90,61.00,0.56,27.37,12.45,150.50,3.00,6.36,1.63,0.40,434.00,4.54,0.01
678,2019-10-08,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,95.40,9.00,519.00,0.29,0.59,5.34,0.00,0.20,0.46,0.90,1793.00,4.81,19.00,1.02,21.90,17.20,206.00,2.00,5.53,2.40,2.20,179.00,4.54,0.01
679,2019-10-08,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,5.50,480.00,0.27,0.33,4.20,0.00,0.17,0.38,0.32,2460.00,0.03,20.00,0.64,31.50,21.20,261.00,2.00,3.93,0.88,3.70,186.00,4.54,0.01
680,2019-10-08,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,7.20,3.80,380.00,0.14,0.31,2.29,0.00,0.18,0.23,1.22,1385.00,2.89,0.00,0.63,17.30,19.40,214.00,1.00,4.60,1.10,1.40,108.00,4.54,0.01
681,2019-10-08,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,175.50,2.05,275.50,0.34,0.60,1.87,0.00,0.22,0.02,1.59,735.50,12.27,53.00,0.89,22.75,15.80,181.50,3.00,6.41,2.27,0.90,358.50,4.54,0.01
682,2019-10-22,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,108.00,8.50,481.20,0.35,0.59,4.53,0.00,0.31,0.44,1.02,1726.00,29.10,23.00,1.01,21.60,15.40,211.00,3.00,5.77,2.39,0.20,213.00,4.54,0.01
683,2019-10-22,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,8.00,525.40,0.28,0.28,4.34,0.00,0.20,0.35,0.31,2358.00,7.20,22.00,0.64,28.40,36.00,245.00,2.00,4.11,0.81,2.50,326.00,4.54,0.01
684,2019-10-22,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,9.60,4.90,351.90,0.15,0.30,2.44,0.00,0.21,0.25,1.09,1327.00,5.30,14.00,0.62,16.50,34.90,207.00,2.00,4.73,1.08,5.40,257.00,4.54,0.01
685,2019-10-22,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,139.60,4.40,311.20,0.35,0.58,2.45,0.00,0.24,0.02,1.62,739.00,28.30,50.00,0.89,23.00,28.30,158.00,3.00,6.38,2.20,2.50,403.00,4.54,0.01
686,2019-10-29,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,112.60,6.90,431.00,0.33,0.60,5.96,0.00,0.24,0.45,1.09,1471.00,21.00,21.00,1.09,21.90,20.00,192.00,2.00,5.94,2.37,1.90,164.00,4.54,0.01
687,2019-10-29,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,6.20,441.00,0.28,0.29,5.04,0.00,0.19,0.36,0.27,2200.00,11.00,19.00,0.66,29.20,30.00,226.00,2.00,4.11,0.81,4.10,255.00,4.54,0.01
688,2019-10-29,Chemistry,Site1,none (reference/control),StreamC - inflow to Site1 lake,1.85,10.80,4.00,309.00,0.14,0.28,4.75,0.00,0.21,0.24,1.13,1201.00,5.00,0.00,0.63,16.00,20.00,219.00,1.00,4.75,0.96,1.50,94.00,4.54,0.01
689,2019-10-29,Chemistry,Site1,none (reference/control),StreamD - outflow from Site1 lake,1.85,143.10,2.50,267.00,0.34,0.60,2.73,0.00,0.23,0.02,1.70,732.50,39.50,40.00,0.89,23.45,20.00,183.50,4.00,6.35,2.28,0.95,345.50,4.54,0.01
690,2019-10-30,Chemistry,Site4,fertilized,Lake Water,11.65,126.20,2.40,899.00,0.27,0.43,1.94,0.08,0.21,0.41,0.76,982.00,63.00,419.00,0.69,15.83,510.00,344.00,39.00,5.80,1.61,1.30,3456.00,0.75,0.00
691,2019-11-04,Chemistry,Site1,none (reference/control),StreamA - inflow to Site1 lake,1.85,123.40,7.00,430.00,0.30,0.61,8.19,0.00,0.24,0.42,1.25,1428.00,33.00,17.00,1.19,22.50,20.00,93.00,1.00,6.07,2.36,1.50,150.00,4.54,0.01
692,2019-11-04,Chemistry,Site1,none (reference/control),StreamB - inflow to Site1 lake,1.85,0.00,6.80,470.00,0.28,0.30,7.31,0.00,0.18,0.38,0.25,2395.00,1.10,15.00,0.71,21.00,30.00,216.00,1.00,4.14,0.86,3.50,188.00,4.54,0.01
